2017,2018,2019,2020
22.9,22.8,22.7,22.9
23.5,24,24.2,25
22.6,22.9,22.2,23.3
22.5,23.2,22.9,23.3
23.7,23.7,24.2,24.4
23.4,23.7,23.6,24.4
22.9,23.2,23.1,23.4
25.4,25.4,26,25.8
26.3,26.8,25.8,26.3
22.9,24.4,23.7,22.6
23.2,23.7,24,24.2
23.5,23.4,23.6,23.6
22.7,23,23.1,23.3
23.5,23.6,23.4,24.8
23.3,23.4,23.5,22.9
24.3,24.2,24.5,24.9
22.6,22.5,22.9,24.5
23.3,23.6,23.6,23.8
22.8,22.5,23.1,24.3
23.4,24.1,23.4,23.4
23.2,23.1,24.1,24.1
22,22.3,22.1,22.9
