1,2,3,4
21.7,21.8,21.8,22.4
22.1,21.8,23.1,21.9
21.6,21.5,21.3,22
21.7,21.7,21.3,21.1
23.7,25.1,23.3,23.3
21.7,22,22.2,23
22.1,22.2,22.3,23.1
23.3,23.5,23.6,24.1
24.5,24.8,25.2,26
21.4,22.6,22.1,20.2
21.7,21.9,21.9,22
23,23,23.2,23.2
21,21,21.1,21.3
21.9,21.8,21.8,22.9
21.7,21.7,21.9,21.9
22.6,23.5,24,24.1
21.2,21.4,21.6,22
22.7,22.8,22.9,23.2
21.6,21.6,22.1,22.8
21.7,21.9,22,22.2
21.9,22,22.8,23.1
20.7,20.5,20.6,20.5
