1,2,3,4
47.04,65.22,34.29,56.71
33.38,46.81,36.84,76.35
33.32,51.69,37.67,63.53
33.32,45.05,45.43,75.37
48.25,49.79,45.98,85.89
30.34,41.59,57.07,84.78
36.66,46.73,40.9,60.39
32.33,46.98,38.85,81.32
39.56,54.73,32.34,89.63
28.71,53.23,46.68,67.91
51.76,74.6,47.39,76.06
36.61,35.43,,
25,93.61,,
35.76,47.36,,
0,48.64,,
32.63,58.17,,
